Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,25.350000,25.400000,24.600000,24.650000,22.218084,24919862
2020-10-14,24.900000,25.250000,24.850000,25.000000,22.533554,19773301
2020-10-15,25.000000,25.000000,24.650000,25.000000,22.533554,13589155
2020-10-16,25.200001,25.500000,24.500000,24.600000,22.173016,45923666
2020-10-19,24.600000,24.700001,24.150000,24.150000,21.767412,30208513
2020-10-20,23.950001,23.950001,23.250000,23.500000,21.181541,44327743
2020-10-21,23.500000,23.549999,23.150000,23.350000,21.046339,27659020
2020-10-22,23.450001,23.950001,23.350000,23.700001,21.361809,44577875
2020-10-23,23.950001,24.750000,23.850000,24.700001,22.263153,63135752
2020-10-26,24.750000,25.400000,24.549999,24.549999,22.127949,54211677
2020-10-27,24.549999,25.100000,24.350000,24.900000,22.443419,32628962
2020-10-28,25.000000,25.150000,24.549999,24.750000,22.308218,19592207
2020-10-29,24.200001,24.500000,24.100000,24.250000,21.857546,21603991
2020-10-30,24.100000,24.299999,23.750000,23.850000,21.497011,26912369
2020-11-02,23.900000,24.100000,23.400000,23.700001,21.361809,16056840
2020-11-03,23.900000,24.049999,23.799999,23.900000,21.542076,14795399
2020-11-04,23.850000,23.850000,22.700001,22.850000,20.595669,51015356
2020-11-05,23.250000,23.700001,23.150000,23.299999,21.001270,38189830
2020-11-06,23.450001,23.650000,23.400000,23.549999,21.226606,23943016
2020-11-09,23.400000,23.799999,23.250000,23.549999,21.226606,30732169
2020-11-10,23.299999,23.299999,22.700001,23.000000,20.730869,48402381
2020-11-11,22.650000,22.700001,22.350000,22.700001,20.460466,41078390
2020-11-12,22.500000,22.900000,22.500000,22.600000,20.370333,21163087
2020-11-13,22.500000,22.799999,22.200001,22.549999,20.325266,21215385
2020-11-16,22.500000,22.850000,22.500000,22.750000,20.505533,19618781
2020-11-17,22.799999,22.900000,22.500000,22.799999,20.550602,22065897
2020-11-18,22.600000,22.650000,22.350000,22.549999,20.325266,24136220
2020-11-19,22.500000,22.900000,22.400000,22.700001,20.460466,20737706
2020-11-20,22.650000,22.900000,22.600000,22.900000,20.640736,16264991
2020-11-23,23.000000,23.150000,22.900000,23.150000,20.866072,25746441
2020-11-24,23.350000,23.350000,22.850000,22.850000,20.595669,23373059
2020-11-25,22.950001,23.000000,22.600000,22.700001,20.460466,14408506
2020-11-26,22.750000,22.850000,22.650000,22.850000,20.595669,12153336
2020-11-27,22.900000,23.299999,22.900000,23.100000,20.821005,23974046
2020-11-30,23.200001,23.250000,22.700001,23.150000,20.866072,36389396
2020-12-01,23.150000,23.150000,22.850000,23.000000,20.730869,18542958
2020-12-02,23.250000,23.600000,23.049999,23.500000,21.181541,33452751
2020-12-03,23.750000,23.900000,23.500000,23.700001,21.361809,37014677
2020-12-04,23.700001,23.750000,23.350000,23.500000,21.181541,31747989
2020-12-07,23.700001,23.700001,23.100000,23.200001,20.911139,28435255
2020-12-08,23.299999,23.600000,23.100000,23.450001,21.136475,20379805
2020-12-09,23.950001,25.299999,23.900000,24.900000,22.443419,104548701
2020-12-10,24.850000,24.850000,24.000000,24.200001,21.812481,36001550
2020-12-11,24.450001,24.450001,23.500000,23.799999,21.451942,30058865
2020-12-14,23.700001,23.950001,23.500000,23.650000,21.316740,15354966
2020-12-15,23.700001,24.500000,23.700001,24.100000,21.722347,38407203
2020-12-16,24.650000,24.700001,24.200001,24.250000,21.857546,25095011
2020-12-17,24.250000,24.299999,23.900000,24.299999,21.902615,18150136
2020-12-18,24.450001,24.500000,24.100000,24.150000,21.767412,16936585
2020-12-21,24.299999,24.299999,23.799999,24.100000,21.722347,12373967
2020-12-22,23.799999,24.000000,23.500000,23.549999,21.226606,15644964
2020-12-23,23.500000,23.600000,23.250000,23.500000,21.181541,9899770
2020-12-24,23.700001,23.799999,23.549999,23.700001,21.361809,9698421
2020-12-25,24.000000,24.000000,23.650000,23.750000,21.406878,8588130
2020-12-28,23.850000,23.950001,23.750000,23.900000,21.542076,11744223
2020-12-29,23.950001,24.000000,23.700001,23.700001,21.361809,10832130
2020-12-30,23.750000,23.799999,23.600000,23.750000,21.406878,9689342
2020-12-31,23.799999,23.900000,23.600000,23.650000,21.316740,8659889
2021-01-04,23.700001,23.900000,23.650000,23.750000,21.406878,11258641
2021-01-05,23.750000,24.400000,23.700001,24.150000,21.767412,35249672
2021-01-06,24.350000,24.400000,23.400000,23.549999,21.226606,26437374
2021-01-07,23.600000,24.049999,23.549999,24.000000,21.632212,21642990
2021-01-08,24.299999,24.900000,24.049999,24.900000,22.443419,78588926
2021-01-11,25.450001,25.450001,24.650000,24.900000,22.443419,39380410
2021-01-12,25.350000,25.400000,24.850000,25.049999,22.578621,48146555
2021-01-13,25.450001,25.650000,25.250000,25.650000,23.119427,50570527
2021-01-14,25.700001,25.700001,25.200001,25.299999,22.803957,28704016
2021-01-15,25.549999,25.549999,24.799999,24.900000,22.443419,28674965
2021-01-18,24.700001,25.049999,24.250000,24.549999,22.127949,19217542
2021-01-19,24.700001,24.950001,24.299999,24.350000,21.947683,16466640
2021-01-20,24.250000,24.350000,23.250000,23.750000,21.406878,50920769
2021-01-21,23.799999,24.500000,23.500000,24.000000,21.632212,29233277
2021-01-22,24.000000,24.100000,23.750000,23.900000,21.542076,12538890
2021-01-25,23.900000,24.150000,23.700001,24.100000,21.722347,15748463
2021-01-26,24.200001,24.350000,23.900000,24.000000,21.632212,13163829
2021-01-27,24.799999,26.400000,24.650000,26.400000,23.795431,185384562
2021-01-28,26.700001,28.650000,26.100000,28.150000,25.372782,312878723
2021-01-29,28.700001,29.299999,26.100000,27.049999,24.381306,169483740
2021-02-01,27.049999,27.299999,25.750000,25.750000,23.209560,76067585
2021-02-02,26.000000,26.299999,25.299999,25.350000,22.849024,70287803
2021-02-03,25.750000,26.000000,25.450001,25.650000,23.119427,35134138
2021-02-04,25.799999,26.850000,25.650000,25.900000,23.344761,84968386
2021-02-05,26.250000,26.600000,26.000000,26.500000,23.885567,44063229
2021-02-17,27.000000,27.049999,26.200001,26.500000,23.885567,39299491
2021-02-18,26.500000,26.950001,26.200001,26.950001,24.291172,32988976
2021-02-19,27.150000,27.600000,26.799999,26.950001,24.291172,40715528
2021-02-22,27.000000,27.200001,26.650000,26.650000,24.020767,29960796
2021-02-23,26.950001,27.000000,26.549999,26.900000,24.246103,23340174
2021-02-24,27.100000,27.150000,26.700001,26.950001,24.291172,38226789
2021-02-25,27.250000,28.000000,27.150000,27.900000,25.147446,57631448
2021-02-26,27.500000,27.600000,26.799999,26.850000,24.201036,58436026
2021-03-02,27.200001,27.299999,26.350000,26.500000,23.885567,21741184
2021-03-03,26.600000,27.000000,26.299999,27.000000,24.336237,16395297
2021-03-04,27.100000,27.200001,26.549999,26.600000,23.975702,22969737
2021-03-05,26.350000,26.600000,26.150000,26.400000,23.795431,30961354
2021-03-08,26.850000,27.200001,26.650000,27.049999,24.381306,28673384
2021-03-09,27.150000,27.299999,26.600000,27.000000,24.336237,17804747
2021-03-10,27.299999,27.450001,26.799999,26.900000,24.246103,21673122
2021-03-11,27.049999,27.500000,27.000000,27.350000,24.651709,29741569
2021-03-12,27.600000,27.750000,27.299999,27.549999,24.831976,23257066
2021-03-15,27.700001,27.799999,27.450001,27.700001,24.967178,13221726
2021-03-16,27.700001,27.900000,27.500000,27.900000,25.147446,23032169
2021-03-17,27.900000,27.950001,27.350000,27.600000,24.877043,23200491
2021-03-18,28.100000,29.250000,28.100000,28.400000,25.598116,95833126
2021-03-19,28.400000,30.400000,28.350000,30.400000,27.400801,162574374
2021-03-22,30.600000,30.650000,29.200001,30.049999,27.085331,68481358
2021-03-23,30.500000,31.400000,30.200001,30.950001,27.896542,58071159
2021-03-24,31.100000,31.799999,30.549999,31.000000,27.941607,43537512
2021-03-25,31.200001,32.450001,30.950001,31.950001,28.797882,63772252
2021-03-26,31.950001,32.000000,30.500000,30.799999,27.761337,70286231
2021-03-29,30.900000,31.250000,30.500000,31.250000,28.166943,27870519
2021-03-30,31.450001,31.750000,31.250000,31.600000,28.482412,25683745
2021-03-31,31.549999,31.700001,31.100000,31.450001,28.347212,23561204
2021-04-01,31.850000,31.900000,31.250000,31.650000,28.527479,19373730
2021-04-07,32.000000,32.799999,31.799999,31.850000,28.707747,26006665
